阿维塔科技（重庆）有限公司,中国兵器装备集团有限公司,38.34,实时单,高德H5,端内APP,正常单,2025/5/16 19:45:48,2025/5/16 20:14:48,T2B-地面1F到达层-6号门最外道,恒大照母山翡翠华庭,重庆市
洛阳船舶材料研究所（中国船舶集团有限公司第七二五研究所）,中国船舶集团有限公司,0,实时单,高德API,商户,取消单,2025/5/16 19:56:22,2025/5/16 20:00:44,(洛阳龙门站-负一层北1区-网约车上车点)洛阳龙门站洛阳龙门站-负一层北1区-网约车上车点,(北京第二实验小学瀛洲校区(西北门))开元路街道洛宜路725号洛阳市瀛洲路小学,洛阳市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,56.8,实时单,高德H5,端内APP,正常单,2025/5/16 20:00:08,2025/5/16 20:39:08,产业园中路北站(公交站)-路东,国测8号A区(北门),北京市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,101,实时单,高德H5,端内APP,正常单,2025/5/16 20:00:27,2025/5/16 20:54:27,厦耐公司(南门),北法信村,北京市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,183.77,实时单,高德H5,端内APP,正常单,2025/5/16 20:00:31,2025/5/16 21:17:31,中国电科第十一研究所(东区),老大烧烤,北京市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,25.32,实时单,高德H5,端内APP,正常单,2025/5/16 20:00:49,2025/5/16 20:16:49,中国电科第十一研究所(东区),南十里居14号楼,北京市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,98,实时单,高德H5,端内APP,正常单,2025/5/16 20:01:15,2025/5/16 20:47:15,厦耐公司(南门),车鲁班洗车美容,北京市
阿维塔科技（重庆）有限公司,中国兵器装备集团有限公司,9,实时单,高德H5,端内APP,正常单,2025/5/16 20:01:34,2025/5/16 20:07:34,万达广场汉安大道西段店(2号门)西侧,维也纳国际酒店(内江万达广场店),内江市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,64,实时单,高德H5,端内APP,正常单,2025/5/16 20:01:40,2025/5/16 20:55:40,酒仙桥北路甲10号院202号楼西南侧,远洋一方溪语苑,北京市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,34.47,实时单,高德H5,端内APP,正常单,2025/5/16 20:01:53,2025/5/16 20:31:53,丰巢快递柜(北京798艺术区店)对面,汇景苑四区,北京市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,286.04,实时单,高德H5,端内APP,正常单,2025/5/16 20:02:42,2025/5/16 21:31:42,中国电科第十一研究所(东区),金山子村村民委员会,北京市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,57.36,实时单,高德H5,端内APP,正常单,2025/5/16 20:03:09,2025/5/16 20:41:09,中国电科第十一研究所,郦城三区,北京市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,175.66,实时单,高德H5,端内APP,正常单,2025/5/16 20:05:05,2025/5/16 21:26:05,中国电科第十一研究所(东区),东崔路与崔家庄外环路交叉口,北京市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,104.1,实时单,高德H5,端内APP,正常单,2025/5/16 20:10:23,2025/5/16 21:07:23,中国电科第十一研究所(东区),疃里庄园(东北1门),北京市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,49.46,实时单,高德H5,端内APP,正常单,2025/5/16 20:10:31,2025/5/16 20:46:31,中国电科第十一研究所(东区),新景家园东区8号楼,北京市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,198,实时单,高德H5,端内APP,正常单,2025/5/16 20:11:27,2025/5/16 21:14:27,中国电科第十一研究所(东区),长盛维安,北京市
中国船舶集团重庆船舶工业有限公司,中国船舶集团有限公司,141.54,实时单,高德API,商户,正常单,2025/5/16 20:12:38,2025/5/16 21:19:50,(重庆北站)两江新区天宫殿街道北站北广场地面(西侧公交一处)幸福站台街区L1层29号,(润雨田御璟台)重庆市江津区学堂路与朝门路交叉口西北180米,重庆市
阿维塔科技（重庆）有限公司,中国兵器装备集团有限公司,26.02,实时单,高德H5,端内APP,正常单,2025/5/16 20:12:47,2025/5/16 20:29:47,上海金融街中心一期1FS A栋,维也纳国际酒店(金沙江路店),上海市
中国电子科技集团公司第十一研究所,中国电子科技集团有限公司,30.96,实时单,高德H5,端内APP,正常单,2025/5/16 20:13:39,2025/5/16 20:44:39,酒仙桥北路甲10号院202号楼,南湖中园小区224号楼,北京市
